,insurance,make,model,mot,service_history,title,price,num_owners_from_new_text,reg,car_type,miles,eng,bhp,gears,fuel,extra_detail,seller_type,distance,seller_town,link
1049,,Nissan,Note,,,Ford Fiesta 1.4 TDCi DPF Edge 5dr,3695.0,**£20 TAX**,2012 (12 reg),Hatchback,85987.0,1.4L,69bhp,Manual,Diesel,,"
Trade seller - See all 21 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201810111391989?advertising-location=at_cars&radius=1501&price-to=4000&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=distance&maximum-badge-engine-size=1.4&postcode=ne46an&page=86
1050,,Peugeot,207,,,Honda Civic 1.4 i-VTEC Si 5dr,4000.0,**SERVICE HISTORY**,2009 (59 reg),Hatchback,67080.0,1.4L,98bhp,Manual,Petrol,,"
Trade seller - See all 21 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201906199171116?advertising-location=at_cars&radius=1501&price-to=4000&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=distance&maximum-badge-engine-size=1.4&postcode=ne46an&page=86
1051,,Peugeot,207,,,Nissan Note 1.4 16v SE 5dr,995.0,"SERVICE HISTORY, 12 MONTHS MOT",2006 (56 reg),Hatchback,98000.0,1.4L,87bhp,Manual,Petrol,,"
Trade seller
    ","
batley - 
87 miles away
                ",batley,/classified/advert/201907260478508?advertising-location=at_cars&radius=1501&price-to=4000&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=distance&maximum-badge-engine-size=1.4&postcode=ne46an&page=86
1052,,Ford,Fiesta,mot,,Peugeot 207 1.4 16v S 5dr,795.0,"SERVICE HISTORY, AIR CON",2006 (56 reg),Hatchback,105000.0,1.4L,90bhp,Manual,Petrol,,"
Trade seller - See all 9 cars
","
batley - 
87 miles away
                ",batley,/classified/advert/201907210306666?advertising-location=at_cars&radius=1501&price-to=4000&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=distance&maximum-badge-engine-size=1.4&postcode=ne46an&page=86
1053,,Volkswagen,Polo,,service history,Ford Fiesta 1.4 Zetec 5dr,3499.0,"AIR CON-16"" ALLOYS",2010 (10 reg),Hatchback,85457.0,1.4L,94bhp,Manual,Petrol,,"
Trade seller - See all 100 cars
","
newcastle upon tyne - 
5 miles away
                ",newcastle upon tyne,/classified/advert/201907029630355?advertising-location=at_cars&radius=1501&price-to=4000&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=distance&maximum-badge-engine-size=1.4&postcode=ne46an&page=86
1054,,Hyundai,i20,,,Vauxhall Corsa 1.4 SXi 5dr [AC],4800.0,Sports Seats & Technical Pack,2013 (63 reg),Hatchback,36210.0,1.4L,99bhp,Manual,Petrol,Manufacturer Approved,"
Trade seller - See all 214 cars
","
kirkcaldy - 
100 miles away
                ",kirkcaldy,/classified/advert/201907230378480?advertising-location=at_cars&radius=1501&price-to=4000&minimum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&sort=distance&maximum-badge-engine-size=1.4&postcode=ne46an&page=86
1055,,Citroen,Nemo,,,Citroen C3 HDI 5DR 1.4cc***Low Mileage With Bluetooth …,4000.0,ONE OWNER FROM NEW,2013 (63 reg),Hatchback,41880.0,1.4L,70bhp,Manual,Diesel,,"
Trade seller - See all 83 cars
","
wilmslow - 
117 miles away
                ",wilmslow,/classified/advert/201907160135218?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1056,,Vauxhall,Astra,,,Peugeot 208 1.4 ACTIVE HDI 5d 68 BHP FREE TAX,3750.0,"FULL SERVICE HISTORY, AIR CON",2013 (13 reg),Hatchback,79075.0,1.4L,70bhp,Manual,Diesel,,"
Trade seller - See all 49 cars
","
halifax - 
87 miles away
                ",halifax,/classified/advert/201907230370359?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1057,,Hyundai,i20,,,Nissan Note 1.4 16v Acenta 5dr,3490.0,1 OWNER LOW MILEAGE,2009 (59 reg),Hatchback,47900.0,1.4L,87bhp,Manual,Petrol,,"
Trade seller
    ","
castleford - 
87 miles away
                ",castleford,/classified/advert/201904096782530?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
1058,,Vauxhall,Corsa,,,Peugeot 207 1.4 Envy 3dr,3790.0,18800 MILES PERFECT EXAMPLE,2011 (60 reg),Hatchback,18000.0,1.4L,75bhp,Manual,Petrol,,"
Trade seller
    ","
castleford - 
87 miles away
                ",castleford,/classified/advert/201905107803283?price-to=4000&postcode=ne46an&advertising-location=at_cars&sort=distance&minimum-badge-engine-size=1.4&radius=1501&maximum-badge-engine-size=1.4&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&page=87
